,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,I_0,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,IR_0,IR_1,IR_2,IR_3,IR_4,IR_5,IR_6,IR_7,IR_8,IR_9,IR_10
798,-5.548,-3.491,-2.069,-1.792,-1.419,-1.254,-0.663,0.487,0.664,1.204,1.512,-0.359,-0.284,-0.221,-0.132,-0.113,-0.087,-0.049,0.091,0.165,0.192,0.36,-0.339,-0.163,-0.08,-0.065,-0.058,-0.053,-0.026,0.092,0.201,0.329,0.433
799,-3.268,-1.856,-1.752,-1.608,-1.456,-0.975,-0.857,-0.668,-0.169,0.498,1.303,-0.292,-0.192,-0.159,-0.139,-0.101,-0.08,-0.065,-0.048,-0.0,0.168,0.289,-0.874,-0.207,-0.188,-0.166,-0.07,-0.05,-0.039,-0.028,0.011,0.234,0.653
800,-2.882,-2.238,-1.892,-1.668,-1.504,-1.247,-0.8,-0.505,-0.18,0.362,1.131,-0.41,-0.212,-0.171,-0.158,-0.147,-0.105,-0.101,-0.089,-0.025,0.121,0.14,-0.471,-0.226,-0.164,-0.135,-0.124,-0.103,-0.075,-0.055,0.005,0.215,0.397
801,-5.561,-2.828,-1.836,-1.472,-1.013,-0.829,-0.446,0.286,0.623,1.598,2.194,-0.324,-0.155,-0.105,-0.067,-0.057,-0.052,-0.034,0.024,0.044,0.119,0.163,-0.175,-0.149,-0.088,-0.07,-0.048,-0.034,-0.027,0.018,0.054,0.094,0.259
802,-5.012,-2.599,-1.662,-1.429,-1.208,-0.973,-0.517,0.437,0.524,0.834,1.42,-0.276,-0.205,-0.172,-0.117,-0.085,-0.079,-0.044,0.076,0.141,0.167,0.361,-0.527,-0.161,-0.123,-0.093,-0.06,-0.052,-0.012,0.074,0.238,0.334,0.356
803,-1.904,-1.595,-1.302,-1.159,-1.07,-0.623,-0.215,0.5,0.71,0.941,1.234,-0.225,-0.193,-0.118,-0.098,-0.083,-0.069,-0.019,0.089,0.15,0.167,0.21,-0.556,-0.156,-0.116,-0.089,-0.077,-0.036,-0.009,0.088,0.197,0.31,0.336
804,-2.694,-1.902,-1.752,-1.553,-1.257,-1.143,-1.004,-0.27,0.491,0.667,1.222,-0.329,-0.259,-0.203,-0.105,-0.09,-0.072,-0.05,-0.0,0.091,0.146,0.265,-0.445,-0.216,-0.158,-0.075,-0.054,-0.044,-0.034,0.002,0.128,0.313,0.516
805,-3.216,-2.258,-1.656,-1.429,-1.326,-1.062,-0.843,-0.491,0.155,0.746,1.709,-0.247,-0.227,-0.163,-0.132,-0.121,-0.106,-0.07,-0.053,0.071,0.178,0.219,-0.516,-0.293,-0.192,-0.116,-0.081,-0.064,-0.054,-0.026,0.068,0.24,0.365
806,-4.548,-2.708,-2.33,-1.691,-1.538,-1.131,-0.928,-0.376,0.548,0.729,0.851,-0.384,-0.209,-0.175,-0.143,-0.109,-0.069,-0.056,-0.032,0.102,0.165,0.226,-0.83,-0.143,-0.099,-0.084,-0.062,-0.055,-0.038,-0.018,0.164,0.215,0.306
807,-4.823,-2.326,-1.931,-1.522,-1.06,-0.995,-0.806,-0.622,0.457,0.75,1.038,-0.244,-0.18,-0.167,-0.123,-0.115,-0.083,-0.062,-0.042,0.12,0.133,0.383,-0.266,-0.188,-0.167,-0.137,-0.079,-0.059,-0.042,-0.013,0.132,0.246,0.845
808,-3.043,-2.248,-1.455,-1.018,-0.672,-0.482,-0.377,0.473,0.725,0.769,1.67,-0.165,-0.13,-0.116,-0.088,-0.071,-0.062,-0.041,0.054,0.08,0.126,0.164,-0.215,-0.144,-0.122,-0.115,-0.084,-0.054,-0.019,0.054,0.129,0.188,0.246
809,-5.082,-2.052,-1.731,-1.373,-1.299,-1.056,-0.98,-0.824,-0.354,0.435,1.232,-0.213,-0.156,-0.138,-0.13,-0.128,-0.125,-0.094,-0.07,-0.056,0.124,0.15,-0.284,-0.155,-0.134,-0.123,-0.096,-0.086,-0.071,-0.041,-0.029,0.21,0.384
810,-3.967,-2.702,-2.085,-1.66,-1.195,-1.08,-0.699,0.323,0.624,0.739,0.911,-0.211,-0.182,-0.144,-0.114,-0.095,-0.069,-0.056,0.08,0.106,0.166,0.275,-0.202,-0.116,-0.086,-0.075,-0.068,-0.044,-0.028,0.138,0.193,0.315,0.38
811,-2.697,-2.336,-1.469,-1.213,-0.882,-0.689,0.518,0.601,1.247,2.062,2.283,-0.491,-0.435,-0.316,-0.239,-0.208,-0.067,0.084,0.124,0.284,0.401,0.434,-0.382,-0.351,-0.236,-0.15,-0.13,-0.059,0.04,0.119,0.261,0.564,0.663
812,-3.848,-2.463,-1.974,-1.76,-1.317,-1.166,-0.825,0.139,0.429,0.563,1.581,-0.317,-0.287,-0.219,-0.187,-0.148,-0.093,-0.07,0.085,0.196,0.213,0.349,-0.27,-0.196,-0.106,-0.093,-0.079,-0.07,-0.055,0.106,0.236,0.451,1.004
813,-11.71,-2.337,-1.417,-1.277,-1.002,-0.679,-0.541,0.06,0.429,0.506,0.956,-0.397,-0.201,-0.119,-0.095,-0.072,-0.067,-0.063,0.009,0.055,0.099,0.145,-0.358,-0.128,-0.109,-0.098,-0.078,-0.057,-0.043,0.019,0.12,0.241,0.348
814,-2.579,-1.936,-1.772,-1.435,-1.056,-0.359,0.44,0.73,0.906,1.6,2.075,-0.291,-0.171,-0.142,-0.12,-0.083,-0.059,0.051,0.088,0.114,0.146,0.208,-0.635,-0.123,-0.098,-0.08,-0.073,-0.04,0.052,0.065,0.1,0.165,0.392
815,-2.861,-2.78,-2.484,-2.176,-1.471,-1.198,-1.1,-0.327,0.332,0.403,1.188,-0.376,-0.131,-0.107,-0.097,-0.094,-0.083,-0.058,0.003,0.067,0.112,0.221,-0.287,-0.164,-0.079,-0.057,-0.038,-0.035,-0.021,0.009,0.13,0.379,0.604
816,-4.892,-3.319,-2.64,-1.839,-1.154,-0.872,-0.45,0.423,0.594,0.789,1.48,-0.385,-0.208,-0.17,-0.133,-0.104,-0.091,-0.014,0.067,0.116,0.152,0.305,-0.177,-0.14,-0.116,-0.079,-0.051,-0.036,-0.013,0.079,0.181,0.321,0.51
817,-9.57,-6.628,-2.092,-1.569,-0.924,-0.482,-0.384,0.395,0.678,1.125,1.393,-0.517,-0.361,-0.197,-0.177,-0.168,-0.073,-0.062,0.134,0.146,0.188,0.242,-0.471,-0.38,-0.091,-0.085,-0.065,-0.055,-0.054,0.105,0.229,0.315,0.497
818,-2.412,-1.609,-1.539,-1.455,-1.402,-1.217,-1.067,-0.995,0.096,0.66,0.988,-0.475,-0.276,-0.234,-0.211,-0.203,-0.198,-0.123,-0.081,0.134,0.187,0.213,-0.39,-0.277,-0.217,-0.141,-0.13,-0.118,-0.087,-0.067,0.14,0.281,0.578
819,-4.328,-2.111,-1.647,-1.569,-1.029,-0.948,0.201,0.5,0.739,1.11,2.402,-0.295,-0.199,-0.17,-0.144,-0.131,-0.115,0.049,0.145,0.16,0.167,0.259,-0.222,-0.194,-0.148,-0.112,-0.084,-0.063,0.043,0.114,0.196,0.334,0.663
820,-3.49,-2.224,-1.673,-1.352,-1.182,-1.001,-0.694,0.412,0.526,0.704,1.196,-0.314,-0.185,-0.152,-0.119,-0.085,-0.071,-0.04,0.093,0.129,0.142,0.212,-0.48,-0.169,-0.133,-0.091,-0.064,-0.043,-0.024,0.111,0.196,0.283,0.41
821,-4.177,-2.892,-2.229,-2.095,-1.452,-1.155,-0.452,0.428,0.549,2.047,3.68,-0.208,-0.13,-0.107,-0.089,-0.073,-0.04,-0.023,0.072,0.105,0.127,0.13,-0.572,-0.16,-0.045,-0.034,-0.03,-0.022,-0.012,0.036,0.047,0.205,0.27
822,-4.438,-1.936,-1.511,-1.35,-1.248,-0.811,-0.66,0.37,0.575,0.692,1.488,-0.535,-0.187,-0.136,-0.096,-0.092,-0.069,-0.036,0.041,0.075,0.114,0.414,-0.361,-0.153,-0.123,-0.105,-0.055,-0.042,-0.019,0.028,0.128,0.3,0.665
823,-3.374,-2.77,-2.167,-1.835,-1.282,-1.176,-1.082,-0.844,-0.171,0.483,1.336,-0.29,-0.268,-0.239,-0.195,-0.157,-0.134,-0.098,-0.067,0.03,0.174,0.35,-0.401,-0.213,-0.188,-0.118,-0.102,-0.092,-0.068,-0.034,0.033,0.371,0.734
824,-3.499,-1.622,-1.473,-1.136,-0.992,-0.838,-0.586,0.404,0.598,0.835,1.964,-0.27,-0.187,-0.129,-0.108,-0.064,-0.059,-0.051,0.058,0.087,0.138,0.303,-0.319,-0.151,-0.114,-0.082,-0.073,-0.054,-0.043,0.051,0.121,0.248,0.392
825,-3.096,-2.725,-2.323,-1.226,-1.046,-0.931,-0.607,-0.308,0.285,0.432,0.708,-0.123,-0.11,-0.106,-0.096,-0.092,-0.08,-0.065,-0.015,0.087,0.112,0.146,-0.206,-0.133,-0.081,-0.074,-0.063,-0.044,-0.035,0.004,0.137,0.328,0.57
826,-3.715,-2.023,-1.751,-1.518,-1.108,-0.645,-0.032,0.562,0.684,0.995,1.675,-0.253,-0.207,-0.152,-0.083,-0.063,-0.038,0.008,0.064,0.078,0.102,0.125,-0.316,-0.194,-0.125,-0.072,-0.033,-0.021,0.011,0.056,0.086,0.176,0.224
827,-3.248,-2.497,-1.765,-1.301,-1.186,-0.687,-0.008,0.602,0.738,1.04,1.702,-0.36,-0.31,-0.205,-0.159,-0.144,-0.121,-0.022,0.089,0.13,0.148,0.41,-0.438,-0.327,-0.17,-0.136,-0.099,-0.063,0.011,0.091,0.138,0.221,0.687
